pred_num,pred_true_num,score
1921,0,0.46600694
1921,1,0.46655239
1921,2,0.46709784
1921,3,0.46764329
1921,4,0.46818873
1921,5,0.46873418
1921,6,0.46927963
1921,7,0.46982508
1921,8,0.47037052
1921,9,0.47091597
1921,10,0.47146142
1921,11,0.47200687
1921,12,0.47255231
1921,13,0.47309776
1921,14,0.47364321
1921,15,0.47418866
1921,16,0.47473410
1921,17,0.47527955
1921,18,0.47582500
1921,19,0.47637045
1921,20,0.47691589
1921,21,0.47746134
1921,22,0.47800679
1921,23,0.47855224
1921,24,0.47909768
1921,25,0.47964313
1921,26,0.48018858
1921,27,0.48073403
1921,28,0.48127947
1921,29,0.48182492
1921,30,0.48237037
1921,31,0.48291582
1921,32,0.48346126
1921,33,0.48400671
1921,34,0.48455216
1921,35,0.48509761
1921,36,0.48564305
1921,37,0.48618850
1922,0,0.46598840
1922,1,0.46653359
1922,2,0.46707878
1922,3,0.46762397
1922,4,0.46816915
1922,5,0.46871434
1922,6,0.46925953
1922,7,0.46980472
1922,8,0.47034991
1922,9,0.47089509
1922,10,0.47144028
1922,11,0.47198547
1922,12,0.47253066
1922,13,0.47307585
1922,14,0.47362103
1922,15,0.47416622
1922,16,0.47471141
1922,17,0.47525660
1922,18,0.47580179
1922,19,0.47634697
1922,20,0.47689216
1922,21,0.47743735
1922,22,0.47798254
1922,23,0.47852773
1922,24,0.47907291
1922,25,0.47961810
1922,26,0.48016329
1922,27,0.48070848
1922,28,0.48125366
1922,29,0.48179885
1922,30,0.48234404
1922,31,0.48288923
1922,32,0.48343442
1922,33,0.48397960
1922,34,0.48452479
1922,35,0.48506998
1922,36,0.48561517
1922,37,0.48616036
1923,0,0.46596986
1923,1,0.46651479
1923,2,0.46705972
1923,3,0.46760465
1923,4,0.46814957
1923,5,0.46869450
1923,6,0.46923943
1923,7,0.46978436
1923,8,0.47032929
1923,9,0.47087422
1923,10,0.47141915
1923,11,0.47196407
1923,12,0.47250900
1923,13,0.47305393
1923,14,0.47359886
1923,15,0.47414379
1923,16,0.47468872
1923,17,0.47523365
1923,18,0.47577858
1923,19,0.47632350
1923,20,0.47686843
1923,21,0.47741336
1923,22,0.47795829
1923,23,0.47850322
1923,24,0.47904815
1923,25,0.47959308
1923,26,0.48013801
1923,27,0.48068293
1923,28,0.48122786
1923,29,0.48177279
1923,30,0.48231772
1923,31,0.48286265
1923,32,0.48340758
1923,33,0.48395251
1923,34,0.48449744
1923,35,0.48504236
1923,36,0.48558729
